;2018-01-31 00:00:00;2018-02-28 00:00:00;2018-03-31 00:00:00;2018-04-30 00:00:00;2018-05-31 00:00:00;2018-06-30 00:00:00;2018-07-31 00:00:00;2018-08-31 00:00:00;2018-09-30 00:00:00;2018-10-31 00:00:00;2018-11-30 00:00:00;2018-12-31 00:00:00;2019-01-31 00:00:00;2019-02-28 00:00:00;2019-03-31 00:00:00;2019-04-30 00:00:00;2019-05-31 00:00:00;2019-06-30 00:00:00;2019-07-31 00:00:00;2019-08-31 00:00:00;2019-09-30 00:00:00;2019-10-31 00:00:00;2019-11-30 00:00:00;2019-12-31 00:00:00;2020-01-31 00:00:00;2020-02-29 00:00:00;2020-03-31 00:00:00;2020-04-30 00:00:00;2020-05-31 00:00:00;2020-06-30 00:00:00;2020-07-31 00:00:00;2020-08-31 00:00:00;2020-09-30 00:00:00;2020-10-31 00:00:00;2020-11-30 00:00:00;2020-12-31 00:00:00;2021-01-31 00:00:00;2021-02-28 00:00:00;2021-03-31 00:00:00;2021-04-30 00:00:00;2021-05-31 00:00:00;2021-06-30 00:00:00;2021-07-31 00:00:00;2021-08-31 00:00:00;2021-09-30 00:00:00;2021-10-31 00:00:00;2021-11-30 00:00:00;2021-12-31 00:00:00;2022-01-31 00:00:00;2022-02-28 00:00:00;2022-03-31 00:00:00;2022-04-30 00:00:00;2022-05-31 00:00:00;2022-06-30 00:00:00;2022-07-31 00:00:00;2022-08-31 00:00:00;2022-09-30 00:00:00;2022-10-31 00:00:00;clus
ES06_N-S;998.7412398921833;1021.7708333333334;942.0537634408602;1026.15;987.6129032258065;1010.6083333333333;902.2177419354839;603.010752688172;874.0222222222222;996.8387096774194;974.675;954.5645161290323;930.7043010752689;1135.0357142857142;967.3575268817204;1063.5916666666667;943.3844086021505;982.8777777777777;895.8897849462365;735.6370967741935;944.9722222222222;1120.0779569892472;1116.4527777777778;901.516129032258;936.6236559139785;976.6752873563219;511.9139784946237;186.61666666666667;345.9247311827957;663.4916666666667;728.486559139785;506.89247311827955;802.0944444444444;825.1666666666666;804.9055555555556;784.760752688172;539.8440860215054;795.5178571428571;827.2123655913979;804.7583333333333;867.6129032258065;1760.6055555555556;736.3736559139785;532.255376344086;920.5694444444445;891.0268817204301;888.4666666666667;875.3897849462365;725.252688172043;852.8035714285714;877.4784946236559;767.8083333333333;842.3118279569892;889.6194444444444;708.3064516129032;515.8924731182796;839.775;493.0;3
ES06_S-N;1009.4123989218328;1042.7291666666667;960.4381720430108;1047.3638888888888;1009.4623655913979;1046.975;942.7876344086021;604.3575268817204;924.9083333333333;1073.010752688172;1047.3;997.8548387096774;1016.6559139784946;1222.235119047619;1047.0752688172042;1124.6555555555556;1013.1048387096774;1044.3027777777777;971.3225806451613;762.5591397849462;1012.6388888888889;1210.225806451613;1185.1638888888888;956.0860215053764;990.0591397849462;1025.471264367816;532.8306451612904;191.23611111111111;353.23924731182797;680.3277777777778;751.5940860215054;529.9193548387096;840.2027777777778;851.8897849462365;814.0222222222222;801.1182795698925;566.2903225806451;765.5833333333334;715.516129032258;735.6222222222223;741.8225806451613;4572.527777777777;851.8172043010753;536.4112903225806;795.0333333333333;933.9784946236559;902.4861111111111;903.8817204301075;770.5;875.3392857142857;908.0456989247311;794.4805555555556;881.013440860215;902.4555555555555;728.8521505376344;538.3333333333334;883.2416666666667;495.0;1
ES07_E-O;4065.032345013477;4217.244047619048;4208.126344086021;4228.030555555555;4173.771505376344;4276.716666666666;4023.233870967742;3093.1075268817203;4000.1222222222223;3831.3575268817203;3962.0416666666665;-5735.376344086021;3762.201612903226;4474.440476190476;3704.728494623656;3565.7;6.0;0.0;3578.5295698924733;3516.0833333333335;3623.536111111111;4213.8279569892475;4232.563888888889;3338.6129032258063;3503.1989247311826;3389.1666666666665;2169.9811827956987;966.5222222222222;1583.1827956989248;2899.436111111111;3122.271505376344;2424.6424731182797;3243.8333333333335;2959.8763440860216;3130.0138888888887;3094.532258064516;2722.2741935483873;3145.3065476190477;3336.766129032258;3320.633333333333;3713.6182795698924;1153.338888888889;4040.9758064516127;2345.1102150537636;3665.311111111111;3680.6236559139784;3688.961111111111;3383.5134408602153;3179.5887096774195;3648.4494047619046;3681.8978494623657;3484.875;3673.0913978494623;3633.8194444444443;3187.564516129032;2574.9112903225805;3580.4055555555556;2196.0;1
ES07_O-E;3742.1051212938005;3970.4851190476193;3887.5026881720432;3977.2444444444445;3917.793010752688;4039.6305555555555;3786.80376344086;2899.9489247311826;3740.883333333333;3574.7365591397847;3721.125;3591.6182795698924;3499.9543010752686;4209.675595238095;3663.2150537634407;3502.7166666666667;8.258064516129032;0.0;3365.6827956989246;3239.2795698924733;3451.025;3985.685483870968;3929.336111111111;3406.7258064516127;3458.771505376344;3505.692528735632;2052.5779569892475;884.35;1431.6586021505377;2653.3805555555555;2606.521505376344;2226.1612903225805;2977.1694444444443;2671.228494623656;2885.108333333333;2880.451612903226;2786.7365591397847;2887.0119047619046;3043.766129032258;3043.586111111111;3763.3387096774195;2194.2277777777776;3965.5;2110.016129032258;3354.9944444444445;3330.1720430107525;3334.075;3502.1182795698924;2919.4274193548385;3308.9910714285716;3304.559139784946;3127.7805555555556;3240.032258064516;3257.4583333333335;2966.255376344086;2307.8494623655915;3119.936111111111;2649.0;1
ES08_E-O;1462.1482479784368;1509.8333333333333;1494.8467741935483;1089.7611111111112;959.8225806451613;1047.4916666666666;1053.986559139785;973.766129032258;977.3555555555556;1055.021505376344;947.6972222222222;1306.3494623655913;1178.3387096774193;1520.6279761904761;1373.7956989247311;1420.7055555555555;1331.6559139784947;1393.1472222222221;1331.502688172043;1358.986559139785;1363.2805555555556;1555.8010752688172;1574.786111111111;1334.8763440860216;1199.1370967741937;986.5344827586207;888.3279569892474;239.925;601.483870967742;1208.3972222222221;1343.6290322580646;1031.233870967742;1050.0472222222222;980.4704301075269;978.4361111111111;976.1182795698925;975.3360215053764;1078.25;1120.3897849462367;1131.9277777777777;1396.8252688172042;1116.1416666666667;1334.8145161290322;1209.2956989247311;1424.8916666666667;1402.6774193548388;1333.6666666666667;1281.8494623655913;1297.0;1373.3779761904761;1348.481182795699;1328.4833333333333;1324.8629032258063;1345.763888888889;1392.3225806451612;1199.3413978494623;1387.5083333333334;1690.0;1
ES08_O-E;1618.5983827493262;1693.8214285714287;1652.4086021505377;1213.1583333333333;1067.9381720430108;1160.6166666666666;1168.741935483871;1081.0456989247311;1084.1083333333333;1170.9489247311828;1049.2611111111112;1393.6075268817203;1211.470430107527;1636.4583333333333;1478.2930107526881;2067.2;1566.8198924731182;1563.0277777777778;1513.8736559139784;1589.263440860215;1552.6805555555557;1750.0887096774193;1741.5861111111112;1464.244623655914;1306.7016129032259;1086.3189655172414;810.0725806451613;287.575;635.6586021505376;1122.2;1168.010752688172;1124.1586021505377;1257.8638888888888;1003.9247311827957;960.2972222222222;842.1881720430108;840.9166666666666;1063.0238095238096;1140.755376344086;1132.9527777777778;1422.1370967741937;1839.4055555555556;1353.467741935484;1218.0967741935483;1396.3305555555555;1466.6290322580646;1419.8722222222223;1413.2956989247311;1386.6505376344087;1465.4583333333333;1445.8629032258063;1360.2083333333333;1377.978494623656;1400.2305555555556;1356.0645161290322;1250.9301075268818;1467.3361111111112;1836.0;1
ES09_E-O;1658.4070080862534;1754.044642857143;1706.513440860215;1727.6444444444444;1646.7096774193549;1717.1888888888889;1605.0430107526881;1416.3978494623657;1668.3;1633.8118279569892;1561.4555555555555;1537.0833333333333;1505.2876344086021;1692.8184523809523;1677.1236559139784;1714.675;1415.728494623656;1571.4305555555557;1502.9569892473119;1404.1666666666667;1513.4444444444443;1589.733870967742;1465.286111111111;1413.1989247311828;1475.8844086021506;1512.1293103448277;840.4784946236559;261.01666666666665;492.84139784946234;918.7944444444445;1157.1370967741937;879.3897849462365;1138.3722222222223;1118.470430107527;1071.25;1142.6666666666667;869.7043010752689;1066.1785714285713;1171.4381720430108;1179.7416666666666;1366.252688172043;3050.052777777778;1195.4543010752689;1075.9166666666667;1324.2611111111112;1362.3897849462367;1360.2;1309.0645161290322;1312.715053763441;1402.75;1387.6666666666667;1333.0777777777778;1403.9139784946237;1383.8333333333333;1419.986559139785;1184.0510752688172;1416.2722222222221;1789.0;1
ES10_O-E;828.4663072776281;819.139880952381;818.0752688172043;869.0555555555555;831.6397849462365;888.7777777777778;837.0806451612904;729.5698924731183;900.6277777777777;909.7231182795699;903.575;904.3575268817204;873.2822580645161;937.8988095238095;902.1612903225806;912.3388888888888;915.983870967742;899.3944444444444;861.8575268817204;561.0940860215054;878.7388888888889;938.2822580645161;931.0805555555555;913.4462365591398;900.1021505376344;916.1206896551724;521.7284946236559;239.70555555555555;435.41129032258067;754.0861111111111;817.4032258064516;733.0241935483871;874.3722222222223;784.5752688172043;837.0888888888888;850.752688172043;639.3817204301075;817.8809523809524;858.6559139784946;847.6805555555555;881.25;9908.094444444445;854.6666666666666;733.002688172043;874.3444444444444;882.6236559139785;865.9472222222222;833.7043010752689;758.3360215053764;804.1428571428571;783.7715053763441;766.3361111111111;810.9301075268817;753.7277777777778;742.4704301075269;659.1801075268817;814.0527777777778;781.0;1
ES11_N-S;4890.838274932615;5344.113095238095;4787.163978494624;5402.783333333334;5432.881720430108;5625.2;4439.610215053764;3710.6155913978496;4534.933333333333;4764.9005376344085;4312.769444444444;4274.774193548387;4038.5403225806454;5811.738095238095;2274.7795698924733;5511.3;4242.645161290323;4466.677777777778;4190.513440860215;3464.6048387096776;4475.925;5045.7553763440865;3597.758333333333;4642.728494623656;5153.991935483871;5215.968390804598;3060.1989247311826;1206.3305555555555;2150.6559139784945;4167.2444444444445;4573.822580645161;3417.733870967742;4671.386111111111;4477.110215053764;4647.844444444445;4680.959677419355;3272.1209677419356;4960.505952380952;5148.4005376344085;5099.719444444445;5406.935483870968;2096.677777777778;4703.811827956989;3874.462365591398;5558.169444444445;5484.217741935484;5553.544444444445;5063.860215053764;4706.825268817204;5508.660714285715;5463.903225806452;5044.833333333333;5429.830645161291;5542.058333333333;4866.518817204301;3804.701612903226;5300.313888888889;4626.0;1
ES11_S-N;5126.318059299191;5804.380952380952;5038.709677419355;5424.9638888888885;6149.432795698925;6122.947222222222;5498.9731182795695;4338.534946236559;4846.277777777777;5925.481182795699;5763.675;5191.610215053764;5044.19623655914;6087.8125;4612.362903225807;5335.2138888888885;4897.118279569892;4628.738888888889;4572.887096774193;4647.440860215053;4283.466666666666;6283.790322580645;4411.772222222222;5498.5268817204305;5565.852150537635;5769.359195402299;3278.9865591397847;1153.2194444444444;2182.6935483870966;2514.586111111111;4510.435483870968;2931.690860215054;2938.8416666666667;1857.3924731182797;3574.4416666666666;2109.2258064516127;2521.010752688172;4016.2440476190477;3369.05376344086;4065.5333333333333;4684.9838709677415;1830.5444444444445;2824.1263440860216;3299.5403225806454;4238.080555555555;5733.102150537635;5585.3805555555555;5013.508064516129;4243.586021505376;4804.520833333333;5532.491935483871;4030.116666666667;5294.680107526881;5558.677777777778;4878.322580645161;4045.1478494623657;5652.1194444444445;6285.0;1
